eval,score,512,1024,2048,ave_time_per_step
score_heuristic,6820,1,0,0,0.006516337894473814
score_heuristic,11008,2,1,0,0.006510859570994665
score_heuristic,3104,0,0,0,0.006537994115193015
score_heuristic,14172,3,1,0,0.006524334590792224
score_heuristic,3204,0,0,0,0.006528278517832954
score_heuristic,6988,1,0,0,0.0065371418682700945
score_heuristic,14620,3,1,0,0.006522618891698715
score_heuristic,7224,1,0,0,0.006528490321817816
score_heuristic,14556,3,1,0,0.006516792672879457
score_heuristic,5388,1,0,0,0.006531473191043503
score_heuristic,7092,1,0,0,0.006540818883935781
score_heuristic,3276,0,0,0,0.006550454600087614
score_heuristic,6924,1,0,0,0.006557592217468229
score_heuristic,13752,3,1,0,0.006555811336488411
score_heuristic,2884,0,0,0,0.006562857412890226
score_heuristic,14484,3,1,0,0.006552900673259466
score_heuristic,7376,1,0,0,0.006546041638504041
score_heuristic,3356,0,0,0,0.006556393717020157
score_heuristic,15336,3,1,0,0.006555451854960271
score_heuristic,7208,1,0,0,0.006551459412884861
score_heuristic,7136,1,0,0,0.006556470926127224
score_heuristic,6460,1,0,0,0.006561935610552433
score_heuristic,2996,0,0,0,0.0065690274522798905
score_heuristic,13608,3,1,0,0.0065562094687769265
score_heuristic,16076,3,1,0,0.006546673623920137
score_heuristic,6392,1,0,0,0.006558037351993678
max_tile_heuristic,612,0,0,0,0.007455280423164368
max_tile_heuristic,2768,0,0,0,0.006179057344605651
max_tile_heuristic,1548,0,0,0,0.006472990258999309
max_tile_heuristic,2408,0,0,0,0.006561126722886333
max_tile_heuristic,2840,0,0,0,0.006889280941894929
max_tile_heuristic,3304,0,0,0,0.006907703081766765
max_tile_heuristic,3144,0,0,0,0.0069067021183883024
max_tile_heuristic,668,0,0,0,0.007000297939616591
max_tile_heuristic,2396,0,0,0,0.007086988337536822
max_tile_heuristic,1664,0,0,0,0.007134850992941374
max_tile_heuristic,2856,0,0,0,0.007092486748261088
max_tile_heuristic,3016,0,0,0,0.007059444214602475
max_tile_heuristic,3260,0,0,0,0.007013516940201332
max_tile_heuristic,1552,0,0,0,0.0070554908655175285
max_tile_heuristic,1748,0,0,0,0.007059466917263834
max_tile_heuristic,2684,0,0,0,0.007080771061011514
max_tile_heuristic,2824,0,0,0,0.007057025374104075
max_tile_heuristic,2288,0,0,0,0.007101800857168256
max_tile_heuristic,1392,0,0,0,0.007071217800719087
max_tile_heuristic,1472,0,0,0,0.007091492108924295
