agent,eval,depth,score
MiniMaxAgent,random_heuristic,2,1164
MiniMaxAgent,random_heuristic,2,1068
MiniMaxAgent,random_heuristic,2,1876
MiniMaxAgent,random_heuristic,2,2844
MiniMaxAgent,random_heuristic,2,2352
MiniMaxAgent,random_heuristic,2,1344
MiniMaxAgent,random_heuristic,2,1112
MiniMaxAgent,random_heuristic,2,1296
MiniMaxAgent,random_heuristic,2,1196
MiniMaxAgent,random_heuristic,2,1168
MiniMaxAgent,random_heuristic,2,2280
MiniMaxAgent,random_heuristic,2,2400
MiniMaxAgent,random_heuristic,2,4692
MiniMaxAgent,random_heuristic,2,2480
MiniMaxAgent,random_heuristic,2,2244
MiniMaxAgent,random_heuristic,2,1588
MiniMaxAgent,random_heuristic,2,1604
MiniMaxAgent,random_heuristic,2,1608
MiniMaxAgent,random_heuristic,2,2892
MiniMaxAgent,random_heuristic,2,2120
MiniMaxAgent,random_heuristic,2,1372
MiniMaxAgent,random_heuristic,3,1448
MiniMaxAgent,random_heuristic,3,1604
MiniMaxAgent,random_heuristic,3,1056
MiniMaxAgent,random_heuristic,3,1072
MiniMaxAgent,random_heuristic,3,844
MiniMaxAgent,random_heuristic,3,1772
MiniMaxAgent,random_heuristic,3,588
MiniMaxAgent,random_heuristic,3,616
MiniMaxAgent,random_heuristic,3,1392
MiniMaxAgent,random_heuristic,3,1396
MiniMaxAgent,random_heuristic,3,1260
MiniMaxAgent,random_heuristic,3,132
MiniMaxAgent,random_heuristic,3,1264
MiniMaxAgent,random_heuristic,3,1140
MiniMaxAgent,random_heuristic,3,1632
MiniMaxAgent,random_heuristic,3,1356
MiniMaxAgent,random_heuristic,3,1280
MiniMaxAgent,random_heuristic,3,724
MiniMaxAgent,random_heuristic,3,1756
MiniMaxAgent,random_heuristic,3,1188
MiniMaxAgent,random_heuristic,3,1072
MiniMaxAgent,random_heuristic,3,712
MiniMaxAgent,random_heuristic,3,2336
MiniMaxAgent,random_heuristic,3,2136
MiniMaxAgent,random_heuristic,3,1648
MiniMaxAgent,random_heuristic,3,1140
MiniMaxAgent,random_heuristic,3,616
MiniMaxAgent,random_heuristic,3,3076
MiniMaxAgent,random_heuristic,3,1432
MiniMaxAgent,random_heuristic,3,1656
MiniMaxAgent,random_heuristic,3,848
MiniMaxAgent,random_heuristic,3,2236
MiniMaxAgent,random_heuristic,3,552
MiniMaxAgent,random_heuristic,3,1048
MiniMaxAgent,random_heuristic,3,2384
MiniMaxAgent,random_heuristic,3,1276
